0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 2 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 4 0 0 0 0
0 0 0 0 0 0 0 2 0 0 0 0 1 1 2 0 0 0 1 1 1 6 6 1 1 2 1 1
0 0 0 0 0 0 0 2 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0
0 0 0 0 0 0 0 2 0 0 0 0 1 1 2 0 0 0 0 0 0 0 4 0 0 2 0 0
1 1 2 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1
0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
0 0 0 0 0 0 0 4 2 2 3 3 3 3 3 3 3 3 3 3 2 0 0 0 4 0 0 0
0 0 0 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2
0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
1 9
14 14
3
6 15
1 2
1 7



